Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"May 22, 2020","May 22, 2020",Run,177,2.670304032,1003,6.258450648214427,2.521244681062594,9.587055329279998,23.7976915968,0,2840,b'I cant run in heat',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4318073326
"May 20, 2020","May 20, 2020",Run,159,2.4056956915200005,904,6.260625447387258,0.12968389604708502,9.583723987199999,462.66386918399996,0,2551,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4310995927
"May 18, 2020","May 18, 2020",Run,165,2.4621997593600002,945,6.381917104111985,1.7734865883241868,9.40153015296,33.831629568,0,2611,b'Short run',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4301582032
"May 16, 2020","May 16, 2020",Run,333,5.0007307046400005,1899,6.326615068002862,0.5399075648214428,9.483783724799999,111.1301921664,0,5467,b'First 5k :)',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4294900741
"May 15, 2020","May 15, 2020",Run,268,4.01581217664,1531,6.352712658076831,0.1989506283305496,9.444821506559999,301.58301888,0,4397,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4290298396
"May 13, 2020","May 13, 2020",Run,107,1.6131098649600002,602,6.210474578461783,3.817275858983536,9.66110124672,15.718012231679998,0,1740,b'#forgottonhowtorun',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4281842809
"May 11, 2020","May 11, 2020",Run,122,1.7574036480000002,746,7.066854569315199,0.7051879523582278,8.490303486719998,85.08392513279999,0,1994,b'Appalling sore tummy \n',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4273448707
"May 8, 2020","May 8, 2020",Run,173,2.6495434944,961,6.040678686471009,0.8972724290145551,9.93266195328,66.8692088064,0,2728,b'Hot run',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4263600790
"May 6, 2020","May 6, 2020",Run,314,4.7633363712,1764,6.169501362045653,0.654459208223972,9.725249698559999,91.67853404159999,0,5153,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4254397549
"May 5, 2020","May 5, 2020",Run,0,4.07189781504,1533,6.2733014197089,0.6374398512685914,9.564347485439999,94.12634626559999,0,4438,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4249838275
"May 2, 2020","May 2, 2020",Run,0,3.1032336614400005,1228,6.594488188976378,0.38247882366976854,9.09849067776,156.87145013759996,0,3584,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4237801912
"May 1, 2020","May 1, 2020",Run,0,4.739920416,2097,7.372196373180625,0.4888339596754951,8.13867791616,122.74112632319998,0,5667,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4233526777
"April 19, 2020","April 19, 2020",Run,0,0,1662,0,9.582103018372703,0,6.26166782208,0,,b'',Map My Fitness MapMyRun iPhone,http://www.mapmyfitness.com/workout/4186485295
