Date Submitted,Workout Date,Activity Type,Calories Burned (kCal),Distance (km),Workout Time (seconds),Avg Pace (min/km),Max Pace (min/km),Avg Speed (km/h),Max Speed (km/h),Avg Heart Rate,Steps,Notes,Source,Link
"Nov. 10, 2020","Nov. 10, 2020",Run,373,4.90000186368,1938,6.591816292849757,4.159558180227472,9.10215998208,14.424614645759998,,5007,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4885584553
"Nov. 8, 2020","Nov. 8, 2020",Run,171,2.26634259456,874,6.427401475383759,3.9651808438717886,9.33503205888,15.131712119039998,,2287,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4858531804
"Nov. 7, 2020","Nov. 7, 2020",Run,406,5.24395086336,2158,6.858695219915692,4.497497116837668,8.74800774144,13.340753648639998,,5617,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4848477115
"Nov. 4, 2020","Nov. 4, 2020",Run,398,5.12102916864,2135,6.948483357193987,3.9834740117712557,8.634983512319998,15.06223673856,,5552,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4820198125
"Nov. 2, 2020","Nov. 2, 2020",Run,239,3.2000035161600002,1210,6.302070905909489,0,9.52065379584,0,,3142,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4813452760
"Nov. 1, 2020","Nov. 1, 2020",Run,373,4.82000137344,1980,6.846454207428617,0,8.76363447168,0,,5155,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4807413163
"Oct. 28, 2020","Oct. 28, 2020",Run,395,5.099995042560001,2110,6.895418257376918,0,8.701417232639999,0,,5490,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4796234080
"Oct. 26, 2020","Oct. 25, 2020",Run,505,6.54637686912,2680,6.823090650600493,3.576084417004693,8.793632643839999,16.778215871999997,,6979,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4792030921
"Oct. 22, 2020","Oct. 22, 2020",Run,314,4.09309287552,1650,6.718638153185397,4.798296697287839,8.93037860352,12.504425852159999,,4302,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4781293771
"Oct. 19, 2020","Oct. 19, 2020",Run,316,4.076162576640001,1686,6.893740555157878,4.71472848564384,8.703541566719998,12.726080801279998,,4387,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4773717886
"Oct. 17, 2020","Oct. 17, 2020",Run,534,6.78137328,2916,7.166708919907738,2.338611260240197,8.37206498304,25.6563229824,,7564,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4767645100
"Oct. 14, 2020","Oct. 14, 2020",Run,328,4.29406775424,1719,6.671973176648374,3.4637591465839495,8.992805057279998,17.322174143999998,,4485,b'One pheasant and one deer',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4759884589
"Oct. 12, 2020","Oct. 12, 2020",Run,339,4.4583656832,1756,6.564475960391315,4.370662829078183,9.14014050048,13.72788134784,,4588,b'',Map My Fitness MapMyRun Android,http://www.mapmyfitness.com/workout/4754047354
